film_id,usuario,pelicula,puntuacion,resena
red-river,jizzmonkey,Red River,6.0,"Historical accuracy is important to me. Everything seems fairly historical and realistic in this film, apart from the black and white color palette which is not realistic at all. Indians get shot and knifed, and a child questioning authority slapped around, and a Mexican is executed in summary fashion - and that's just the first 15 minutes, so you know at that point that historical accuracy is very much a focus. The cattle behave much like you would expect them…"
paterson,jizzmonkey,Paterson,6.0,"When will,This fuckingMovie:Be OveR?I ask just anyone in this dimension.But Then.I even somehow quite Like it,Because I've got,Nothing else to do.And a cute dog in it: Too.And then time marches on,And the fucking thing's over.Thank Christ.But Jizz lovers,I kindA liked it enough.Enough to wriTe my own poem,Within a poem.Brought to you byDry sherry,And everlasting reciprocal love:Jizz writes only poetry,Poetry only writes Jizz."
eat-drink-man-woman,jizzmonkey,Eat Drink Man Woman,8.0,"What an innocent time it was, the 1990s."
inglourious-basterds,jizzmonkey,Inglourious Basterds,6.0,"My Gen Z nephew, JJ, has won an internship working in Hollywood! He's given up on lighting and wants to become a star! His internship involves running errands for a Hevrey Wernemstein who lives in a gated community in downtown Los Angeles and JJ hasn't met yet. But apparently Mr Wernemstein knows Quentin Tarantino! And there are free acting lessons thrown in as part of the non wage package that JJ negotiated all on his own! I'll keep you people posted on events."
when-we-were-kings,jizzmonkey,When We Were Kings,5.0,"""Anything that I say I'm willing to back up.""--Jizzmonkey's third wife but apparently Muhammad Ali said it first. This documentary is about the unique desires inherent to the human condition, and displayed across sumptuous players: Ali, Foreman, the promoters, trainers, hangers-on, the Western press, the musicians, dancers, a truly evil dictator, the people of the Congo, a succubus. But it's also about the fight itself, which is the epitome of brutality managed by skill and told in the form of a story, with a beginning, a middle, and an end."
1917,jizzmonkey,1917,4.0,1917 going on 2019.
doctor-zhivago,jizzmonkey,Doctor Zhivago,5.0,I cried during this beautiful film: near the end I was checking my phone and discovered that I'd just missed out on the never to be repeated 60% off sex robot sale on Amazon Japan. The latest gen technology. 60% off. I don't think I've ever been so overwhelmed with sadness.
downfall,jizzmonkey,Downfall,5.0,"Actors love eye movements to express themselves when they have no lines, and there are just way too many of these eye movements in this. At a certain point if I was the Fuehrer I would have put a stop to it. Apart from that minor flaw, this is a brilliant film; a masterful reconstruction, utilizing the historical record available, of the crazed and terrifying final days of a criminal regime."
magnolia,jizzmonkey,Magnolia,8.0,Jizzmonkey resorts to secret messages hidden in reviews redrum natas htiw cisum dna mehyam pots pihsrosnec this is a great film that just sloshes around nicely like Irish whiskey on ice.
nowhere,deathproof,Nowhere,9.0,MAJOR
rope,deathproof,Rope,7.0,an average single episode plotline for macdennis
heat-1995,deathproof,Heat,8.0,"not to be the guy who says stuff like ""they don't make em like this anymore"", (because i do firmly believe that great art can transcend any era), but it's hard to imagine something like this being put out today when most of what we get now is poorly shot with a bloated budget that relies too heavily on cgi and overstimulating editing techniques just to be dumped on some streaming service. this was the real deal!!!! where did we go wrong? (rhetorical)"
mulholland-drive,deathproof,Mulholland Drive,9.0,GAG worthy
sinners-2025,deathproof,Sinners,8.0,imagine being able to show the lumière brothers a film this massive. their heads would spin right off their shoulders
three-colours-red,deathproof,Three Colours: Red,5.0,currently riding the wave of a 3 day low energy depression spiral and seeing irène jacob's side profile again is hitting like an epipen to the thigh
decalogue-i,deathproof,Decalogue I,9.0,"giving the almightydekaloganother stab because i've always had a tender spot for kieślowski but am ashamed to say i never finished the whole seriesand my god this first entry is jaw dropping. some of his best work, i think, even on its own. i've thought about it quite a lot in the almost 3 years since i first saw it. almost a shame it didn't get its own extended movie like episodes 5 and 6 did with…"
koyaanisqatsi,deathproof,Koyaanisqatsi,9.0,acquiring the score on cd and playing it in my car the next time i'm stuck in traffic on the 405
memories-of-murder,iam_sherlocked,Memories of Murder,9.0,Korean Paul Danois so good in this as Paul Dano playing an ambiguous antagonistic Paul Dano character who gets beat up by the protagonist
the-emperors-new-groove,iam_sherlocked,The Emperor's New Groove,6.0,Depressing that I almost definitely live in the timeline where Disney remakes this starring Ryan Reynolds and Dwayne Johnson within the next few years.
crouching-tiger-hidden-dragon,iam_sherlocked,"Crouching Tiger, Hidden Dragon",9.0,Bruh Jen literally is the root of all of this madness she’s so freaking stubborn and rude (she’s literally me)
mission-impossible-fallout,nowhere1997,Mission: Impossible – Fallout,9.0,"Honestly, 3 out of the first 5 are decent films, the other two being OK at best and bland at worst so I kinda almost… lost interest in continuing this franchise any further. But I tuned into this one and something about this one just… clicked for me. It feels comfortable in its shoes and ready to show how far, how grand it can be, and it WORKS. The action set pieces and story feel so… in sync whereas the…"
twin-peaks-fire-walk-with-me,nowhere1997,Twin Peaks: Fire Walk with Me,5.0,"Finally, a longtime dream of mine has come to reality: I got to see my most favorite film of all time in theaters!! A truly magical experience to see some of the best moving images the way they should be seen! But a nightmare of mine also came true tonight: people laughing at the most inappropriate times, like during Laura’s sad “gobble gobble” like… how is that funny? How is anything past the Desmond stuff any hint of funny? Grow…"
2001-a-space-odyssey,joshuapictures,2001: A Space Odyssey,5.0,"Monke: discovery of bone = evolutionMe: discovery of Wi-fi = bufferingTruly, we have fallen."
aftersun,joshuapictures,Aftersun,9.0,"I don't know what to say right now. I feel so overwhelmed with emotion about my life, my main relationship with my parents, and how, even if we love each other at the end of the day, it is still enough? Is it still enough to fully repair the emotional distance we still have with each other? Is it too late for me to say, ""I love you"" before it's too late? Can we give ourselves one more chance to?…"
sinners-2025,alexil,Sinners,8.0,The feeling of watching that long-take dance sequence where Sammie is conjuring musical spirits from the past and the future through his playing and singing is like when your pussy is being eaten (so gooood).
black-mirror-shut-up-and-dance,alexil,Black Mirror: Shut Up and Dance,9.0,"Now you see me sympathizing, now you don’t."
moonlight-2016,alexil,Moonlight,8.0,"Queer struggles mixed with parental negligence and being casted out are a whole different level of pain. You can’t find love everywhere, but sometimes it does find you (from people like Juan, Teresa, and Kevin)."
black-mirror-san-junipero,alexil,Black Mirror: San Junipero,5.0,Love me a lesbian who’s living for the first time and a party-going bisexual who made heaven a place on earth for each other <3
her,alexil,Her,6.0,"“You’re mine or you’re not mine.”“No. I’m yours and I’m not yours.”Yeah, no shit."
when-life-gives-you-tangerines-2025,alexil,When Life Gives You Tangerines,9.0,"May this kind of love (familial, friendship, romantic, neighborly) find me!!!Life has always been giving tangerines to everyone. But when it comes to women, it just doesn’t give, it throws. Yet women being together, bounded by shared struggles and experiences, can thrive in a world of patriarchy and poverty. It’s not easy to break this cycle, but with the right people around you, you’ll eventually find yourself in a healthy and comfortable place.A family full of love but…"
little-women-2019,alexil,Little Women,5.0,"Someone on twitter said about the loneliness of Jo March,“The path of a cycle breaker is a very lonely path indeed.”Oh behind a loving and understanding heart is a soul that craves of being loved and understood. It takes a lot of bravery and perseverance to reach this level of strength and acceptance 🥺"
im-still-here-2024,alexil,I'm Still Here,5.0,"How can one know that the smiles shared while taking a picture with loved ones might be the last? That the photo, once a snapshot of joy, will become a distant memory to look back on? How can one know that the ordinary days spent with family will eventually come to an end? How can one recognize when a moment will be the last? How does one live, waiting for years for someone to return, only to realize they never…"
my-girl-2003,alexil,My Girl,9.0,"Time flies so fast. One moment, you’re a kid—enjoying life unburdened by adult problems, being silly and playful, innocent and pure-hearted, and full of youthful energy. Then, before you know it, you’re an adult reminiscing about the life you once had. Thankfully, music, scents, food, and even movies can bring these memories back, allowing us to relive them as if they happened just yesterday."
conclave,alexil,Conclave,8.0,"“Our faith is a living thing precisely because it walks hand-in-hand with doubt. If there was only certainty and no doubt, there would be no mystery. And therefore no need for faith.”I’m an agnostic Catholic, but this movie and this delivery of Lawrence almost made me reconsider things :P"
flow-2024,alexil,Flow,5.0,"When your group is small, but y’all are a cat, a secretarybird, a dog, a lemur, and a capybara (definitely plus the whale 🥹)"
one-million-yen-girl,alexil,One Million Yen Girl,5.0,"The feminine urge to punish a guy who threw away a kitten, leave home after getting out of prison (what Suzuko did was right idgaf), and save up a million yen to move from town to town where nobody knows you. Then after some time on your own—despite having no interest in finding yourself because you're running away from it—you eventually gain the motivation to stand on your own feet and face the world."
haru,alexil,Haru,9.0,“The only way for me to experience love is through movies. I am so pathetic.”But maybe it’s not yet late to believe that I’d find my soulmate in an online movie community and finally put an end to this yearning in my heart. Who can be the Haru (can also be a girl) to my Hoshi? ( ^ — ^ )
a-few-good-men,gracespelman,A Few Good Men,8.0,Someone please put the fear of death back in Cruise so we can get him in the talk-y movies again
sinners-2025,gracespelman,Sinners,9.0,ladies and gentlemen: THE MOTHERFUCKING GUITAR!!!!!!!!!!!!!!!!!!!!
anatomy-of-a-murder,gracespelman,Anatomy of a Murder,5.0,"George C. Scott is serving CUNT in this movie. The next time you watch this, I implore you to keep your eyes on him because he is being such a fucking diva, it gets me so hype!!!!!!!!!"
red-rooms,gracespelman,Red Rooms,9.0,"YES YES YES!! This movie made so many cool decisions and I never saw any of them coming (I went in completely cold and am glad I didn't even read the letterboxd logline). Pascal Plante, you have my attention for the rest of my life. I finished it five minutes ago and already wish I could watch it again for the first time. Chloe Ting jumpscare!!!!"
il-sorpasso,slig001,Il Sorpasso,9.0,"An exuberant freewheeling road movie comedy from Dino Risi. Il Sorpasso charts the spontaneous friendship between a vibrant larger than life playboy and a shy retiring law student as they make their way through the Italian countryside in a convertible sports car. The film very much plays on the differences between the central characters; introvert and extrovert, two people that would never normally meet. Their friendship blossoms as we learn more about the characters and their outlooks on life. The…"
how-to-train-your-dragon-2025,davidlsims,How to Train Your Dragon,5.0,wrote about thishere
fantastic-planet,davidlsims,Fantastic Planet,7.0,uh sure
fargo,davidlsims,Fargo,5.0,prowler needs a jump
my-neighbor-totoro,davidlsims,My Neighbor Totoro,5.0,daughter’s first movie in the theater. big totoro always there for us
nirvanna-the-band-the-show-the-movie,mank,Nirvanna the Band the Show the Movie,7.0,life is so fruitful with your friends :)
the-great-escape,stevenss_13,The Great Escape,9.0,The moonshine scene alone was almost enough for 5 stars. So many iconic moments to add to the list of reasons this film is an all-time classic.
strangers-on-a-train,stevenss_13,Strangers on a Train,8.0,"A classic Hitchcock thriller that kept me invested from start to finish, even though I was forced to witness two blokes in shorts hit a ball for 15 minutes."
the-killing,stevenss_13,The Killing,5.0,"“You'd be killing a horse, that's not first degree murder, in fact it's not murder at all, in fact I don't know what it is.”"
12-years-a-slave,stevenss_13,12 Years a Slave,5.0,"I’m not a massive fan of typecasting, but I love Paul Dano always playing the role of little bitch."
the-departed,stevenss_13,The Departed,9.0,Marty never disappoints with his soundtracks.
donkey-skin,indiasfilms,Donkey Skin,8.0,I just love when films are weird as fuck
sinners-2025,indiasfilms,Sinners,8.0,oh how I wish I lived in a world with twoMichael B. Jordan’s (yes even a world with vampires)
kneecap,indiasfilms,Kneecap,8.0,smash
the-princess-bride,indiasfilms,The Princess Bride,8.0,if I was John Kramer I would’ve locked him in my dirty bathroom too 🥵
the-childrens-hour,indiasfilms,The Children's Hour,6.0,fuck them kids
little-miss-sunshine,indiasfilms,Little Miss Sunshine,5.0,"psa do not watch this film when you’re hormonal, you will cry like a baby"
hereditary,indiasfilms,Hereditary,9.0,Toni Collette the woman that you are
adolescence-2025,indiasfilms,Adolescence,,Stephen Graham is a national treasure
lilo-stitch,indiasfilms,Lilo & Stitch,5.0,@Disney why mess with this masterpiece
the-worst-person-in-the-world,indiasfilms,The Worst Person in the World,5.0,I beg any woman in their 20s/ 30s to watch this film
society-of-the-snow,indiasfilms,Society of the Snow,8.0,Yellowjackets for the boys
anatomy-of-a-murder,indiasfilms,Anatomy of a Murder,7.0,I feel an obsession with James Stewart brewing
mulan,indiasfilms,Mulan,5.0,what if I said this was the best Disney film ever made then what
the-adventures-of-priscilla-queen-of-the-desert,indiasfilms,"The Adventures of Priscilla, Queen of the Desert",8.0,Guy Pearce if you’re reading this I’m free Thursday if you want to hang out on Thursday when I’m free to hang out
the-shawshank-redemption,indiasfilms,The Shawshank Redemption,5.0,such an easy 5 stars
blue-velvet,indiasfilms,Blue Velvet,8.0,"rest in peace to a true visionary, such a great loss for this community 🕊️❤️‍🩹"
memoir-of-a-snail,indiasfilms,Memoir of a Snail,9.0,what the fuck did I ever do to you Adam Elliot oh my I’m sobbing
flow-2024,indiasfilms,Flow,8.0,being a cat person means skipping through the scenes where the cat is in danger or else I will break down
arrival-2016,indiasfilms,Arrival,5.0,this film is my version of baby sensory videos
the-lego-batman-movie,indiasfilms,The Lego Batman Movie,5.0,instant 5 stars
how-to-train-your-dragon-2025,behaind,How to Train Your Dragon,8.0,"Wie gut die „Drachenzähmen“-Reihe wirklich ist, zeigt sich auch nochmal im Speziellen, wenn man nach 15 Jahren nahezu exakt denselben Film nachdreht - und es ist wieder fantastisch!"
memoir-of-a-snail,behaind,Memoir of a Snail,6.0,"„Mary & Max“ war schon keine seichte Unterhaltung, „Memoir of a Snail“ ist aber ein richtiger Stimmungskiller. Ein Schicksalsschlag jagt den nächsten, der kleinen Grace bleibt nichts erspart - von Mobbing bis Gaumenspalte, toten Verwandten bis Misshandlung und dazu dann Adam Elliots bewehrtes Farbschema: schwarz auf schwarz, angereichert mit freundlichen Grautönen.Diese Barrage aus negativen Gefühlen wird nur selten aufgebrochen, meist durch schräge Nebencharaktere, die Stimmung bleibt aber eher betrübt. Und so gerne ich einen Zugang zu Grace und ihren Schneckenhäuschen…"
true-stories,johnny2cellos,True Stories,9.0,David Byrne inventing situations over here
david-byrnes-american-utopia,johnny2cellos,David Byrne's American Utopia,9.0,what if stop making sense was a broadway show about autism
godzilla-minus-one,johnny2cellos,Godzilla Minus One,5.0,There are 3 masterpiece Godzilla films and this is one of em
before-sunset,siena_brown,Before Sunset,5.0,when she reaches out to touch his hair in the car but she pulls back when he looks at her because if someone touches him he’ll dissolve 🥺🥺🥺
sinners-2025,siena_brown,Sinners,5.0,during the club scene I genuinely felt all my ancestors in the room with me… I can’t remember the last film that moved me to tears like that
conclave,siena_brown,Conclave,8.0,🎶 pope-ular! you’re gonna be pope-uuu-lar! 🎶
aladdin,siena_brown,Aladdin,8.0,magic carpet is sooooo cute just wanna shake his little tassel hand 🥹🥺
the-shining,siena_brown,The Shining,8.0,on a scale of 1 to 10 how unhinged was it to watch this in the bathtub
blue-velvet,siena_brown,Blue Velvet,,so many questions left unsolved… but perhaps the biggest one is… what was the deal with the wig?
robot-dreams,siena_brown,Robot Dreams,5.0,love choosing a cute animated movie on the airplane and then having a silent cry because it’s so bittersweet 🥺
how-to-train-your-dragon-2025,lilusions,How to Train Your Dragon,3.0,a sad case of the wicked effect: poor lighting and awfully grey colour grading :(bring back vibrancy and joy
decalogue-i,lilusions,Decalogue I,9.0,“I am the Lord thy God; thou shall have no other God but me.”
funeral-parade-of-roses,lilusions,Funeral Parade of Roses,9.0,transgressive transgenderisms
umberto-d,lilusions,Umberto D.,8.0,"oh, una banana!"
nowhere,lilusions,Nowhere,5.0,this film gives me a total ladyboner
happiness,lilusions,Happiness,8.0,holy fucking shit. at no given moment was i prepared for what came next. pun intended (cum joke)
amelie,impressionblend,Amélie,8.0,"Iconic, unforgettable, life-affirming, endlessly charming warm blanket of a movie 💚"
how-to-train-your-dragon-2025,zachpopereviews,How to Train Your Dragon,8.0,"#HowToTrainYourDragon invokes the same emotion as the original animated feature with a stellar soundtrack, incredible VFX, & I think the best part was easily the performances + atmosphere. While it is SHOT for SHOT it’s hard to not recommend this. Toothless remains perfect"
the-incredibles,zachpopereviews,The Incredibles,5.0,"Truly gets better as I ageSome who’s married, a father, working an office jobThis film just hitsGenuinely just a perfect family drama that was written for adults…. And kids can just enjoy it"
memories-of-murder,staceyerinm,Memories of Murder,5.0,Hey I’m as shocked as you are don’t you worry
the-lighthouse-2019,staceyerinm,The Lighthouse,5.0,Prometheus if he was feeble minded and bad at manual labour
the-fall,staceyerinm,The Fall,9.0,Mr World type costumes
frances-ha,staceyerinm,Frances Ha,5.0,"Watching this was so spooky, it felt like some of the lines and experiences were ripped directly from my mid to late 20s, down to the music,I listened to every1’s a winner almost everyday on my drive to work last year,Can’t wait to watch this again in my 30s"
sinners-2025,staceyerinm,Sinners,8.0,Hey Alexa play Nookie by Limp Bizkit
the-master-2012,staceyerinm,The Master,5.0,"Maybe I just fell asleep, could have been me"
how-to-make-millions-before-grandma-dies,staceyerinm,How to Make Millions Before Grandma Dies,5.0,I think I trauma blocked half of this movie
raiders-of-the-lost-ark,staceyerinm,Raiders of the Lost Ark,6.0,So actually as an archaeologist 🤓👆
kneecap,staceyerinm,Kneecap,8.0,Fuck the peelers
conclave,staceyerinm,Conclave,9.0,Fear and loathing on the conclave trail
perfect-days-2023,staceyerinm,Perfect Days,9.0,He’s just like me fr (an Olympus mju owner looking forward to film photo day and a trip to the baths)
mulholland-drive,staceyerinm,Mulholland Drive,8.0,"The Room by Tommy Wiseau exists in the Mulholland Drive universe, will not be receiving any feedback on this take thank you"
children-of-men,staceyerinm,Children of Men,6.0,"We are so back, the movie was better !!WWB Score: Books 5, Movies 4"
hereditary,staceyerinm,Hereditary,9.0,youtu.be/Z5Kk1ZUryhg?si=6xE3KIX3Me26UR7m
national-theatre-live-fleabag,staceyerinm,National Theatre Live: Fleabag,5.0,Tearing up at the death of an invisible Guinea pig
the-wild-robot,staceyerinm,The Wild Robot,6.0,"I dont know why they added that fuck ass fox character, shifted a lot of the really interesting themes of the book but this was visually stunning !!!"
vampire-hunter-d-bloodlust,staceyerinm,Vampire Hunter D: Bloodlust,7.0,Hozier vampire hunter
memoir-of-a-snail,staceyerinm,Memoir of a Snail,5.0,"Pinky I love you, you’re my idol"
godzilla-minus-one,staceyerinm,Godzilla Minus One,5.0,Eff yeah love seeing that big ass lizard on that big ass screen
the-thing,staceyerinm,The Thing,9.0,No greater joy than to see a dog run in front of the screen at the movies
gladiator-2000,staceyerinm,Gladiator,6.0,"Going to need to see some rigs out for Gladiator II, chairs"
the-boy-and-the-heron,staceyerinm,The Boy and the Heron,6.0,"Goated nap movie, knocked me out"
the-beatles-get-back,staceyerinm,The Beatles: Get Back,8.0,Yoko Ono go home stay home 123 challenge
indiana-jones-and-the-last-crusade,paulscheer,Indiana Jones and the Last Crusade,5.0,"Haven’t watched this one in ages. It’s effortless and maybe that’s after watching the last two which felt so labored. It’s so beautifully directed that it puts current action films to shame. It’s lean while still being full of action, comedy, heart and story. Having Tom Stoppard do the Father/Son dialogue was a genius choice and the film manages to be a send off that doesn’t take itself too seriously. It also sets the template for what people love and hate with prequels. Seeing it on the big screen. It just felt massive in so many ways."
how-to-train-your-dragon-2025,paulscheer,How to Train Your Dragon,8.0,This is a blast especially in IMAX - I’ve never seen the original and I just loved that for a movie with flying dragons. I didn’t feel like I was watching a CGI fever dream. I was fully invested and the performances are great.
john-wick-chapter-4,paulscheer,John Wick: Chapter 4,,So many rules.Is there a handbook
but-im-a-cheerleader,paulscheer,But I'm a Cheerleader,,I love this cast.One of those 90s movies that is so self assured that it feels a bit timeless instead of dated
the-big-sleep,paulscheer,The Big Sleep,8.0,Don’t know if I got it. But I love it.
sinners-2025,paulscheer,Sinners,5.0,Goddamn.
being-john-malkovich,paulscheer,Being John Malkovich,9.0,"When I first saw this I just thought it was a weird funny movie and now when I watch it, I can’t get over how devastatingly sad it is."
the-umbrellas-of-cherbourg,cinemanya,The Umbrellas of Cherbourg,9.0,"ah, merde!when guy sang that i felt it in my bones. (an angel dies whenever someone compares this to la la land)"
girl-interrupted,cinemanya,"Girl, Interrupted",5.0,"one of my comfort films where none of the characters ever had a day of fucking comfort in their life.I finally got to watch it with my friend. randomly, I had an epiphany that me and my friend haven't watched this together yet. our world literally stopped when I told her that. it's THAT serious.this is literally our movie. tag yourself I'm lisa.is this fucking play about us?"
mustang-2015,cinemanya,Mustang,8.0,"this is just cruel. to think girls this young have no protection from this, even today. take all of their suffering, double it and give it to males."
from-the-clouds-to-the-resistance,stautis,From the Clouds to the Resistance,7.0,"Week 7 viewing (1/1) fromRadical Cinema: Straub-HuilletLeft with a bit of a pearls-before-swine sort of feeling on this one. The material seems very rich to engage with, though I feel like I'm not able to properly do so. Jacques Ranciére considers this a turning point for Straub-Huillet from a dialetic to a lyrical mode. This much is apparent. The delivery changes slightly, there is still recitation but it isn't quite so relentless as it has been up til this…"
moses-and-aaron,stautis,Moses and Aaron,9.0,"Week 6 viewing (1/1) fromRadical Cinema: Straub-HuilletMoses and Aaronis the first film from the curriculum linked above whose reputation precedes my viewing to any considerable degree. I think it is the Straub-Huillet film that has crossed my paths most frequently here on Letterboxd. It is currently sitting just outside the oldest page of my watchlist. Furthermore, by accident I caughtIntroduction to Arnold Schoenberg's Accompaniment to a Cinematic Sceneat the Ludwig Museum some five years ago, the…"
twin-peaks-fire-walk-with-me,stautis,Twin Peaks: Fire Walk with Me,5.0,"There was a time when, if it had been out, I probably would have sat down and watched that four-and-a-half hour long ""Twin Peaks ACTUALLY EXPLAINED"" youtube video. After yet another rewatch of the first two seasons, capstoned by FWWM, and hopefully to be followed by The Return, I realize that my attitude towards the secrets of Twin Peaks is diametrically opposite to what it was back then. At the slightest hint of resolution, my kneejerk reaction is to explode…"
inception,aeinryesh,Inception,9.0,A conceptual slap in the face
star-wars-episode-iii-revenge-of-the-sith,austinelkins,Star Wars: Episode III – Revenge of the Sith,5.0,you were my brother😭😭😭😭
senna,tedsmovies,Senna,5.0,"Incredible documentary, incredible story. Very sad ending. Deffo watch"
top-gun-maverick,tedsmovies,Top Gun: Maverick,5.0,"One of the best sequels I’ve seen. Rare when the sequel is better than the original (in my opinion). Edge of your seat stuff, loved it. Excited to see the full F1 movie now"
downfall,tedsmovies,Downfall,8.0,"Incredible performance from the main actor, kinda all round amazing film. Super bleak though wow"
spirited-away,tedsmovies,Spirited Away,5.0,"One of the best of its genre, watch it, just brilliant"
tangled-2010,tedsmovies,Tangled,8.0,"Loved the songs, looked who wrote them, Alan Menken of course, the master"
the-sound-of-music,tedsmovies,The Sound of Music,5.0,"Gets alot of play in our house, soundtrack bangs"
stand-by-me,tedsmovies,Stand by Me,6.0,"enjoyed it, I know its different to the goonies but I cant help compare them, and I preferred the goonies. Stu will be rolling his eyes at this, 80’s kids obvz think 80’s films are superior, but I’m a 90’s baby, Hook 4 lyfe"
mulan,tedsmovies,Mulan,5.0,Never watched this as a kid so its only as an adult with kids I’m watching it. Its great. Songs are wicked
princess-mononoke,tedsmovies,Princess Mononoke,5.0,Beautifully made movie
beauty-and-the-beast-1991,tedsmovies,Beauty and the Beast,5.0,"Great songs, great movie. Disney at its peak was 90’s I think"
casino,h2345,Casino,5.0,"martin scorsese with robert de niro as the lead, that alone makes casino worth watching. martin scorsese opens casino with dazzling las vegas lights, which are built from crime and immorality. one of the most interesting aspects during this film is that, although ace is surrounded by this crime, he is not a criminal himself. he wants a simple life, a smooth running casino and the same number of blueberries in each muffin. this scene basically sums up the whole…"
dazed-and-confused,h2345,Dazed and Confused,8.0,bring back men in flared jeans
how-to-train-your-dragon,linky1024,How to Train Your Dragon,5.0,Wow! What an absolutely fantastic film! One would think it completely unnecessary to makea live-action version!
how-to-train-your-dragon-2025,linky1024,How to Train Your Dragon,,"That's it, DreamWorks. Now you have to make live-action Shrek."
star-wars-episode-iii-revenge-of-the-sith,linky1024,Star Wars: Episode III – Revenge of the Sith,5.0,"Love won't save you, Padmé. Only my new powers can do that.No wonder we all like Anakin, he is neurodivergent as all hell. The whole movie is about his hyperfixations"
sinners-2025,linky1024,Sinners,5.0,Wecouldn't even make it 50 feet out the theater before buying tickets to the next screening
sinners-2025,linky1024,Sinners,5.0,I- I think I just had a 138 minute orgasm
how-to-train-your-dragon-2025,datzeldagirl,How to Train Your Dragon,6.0,I’ve heard an annoying amount of people be straight up awful about this film for no reason other than it being a live action remake to the animated original film. We live in an era where people of my generation are nostalgic for the stuff we grew up on so I won’t lie I was curious how this would turn out. To be honest this film hits the middle ground for me and I don’t love it nor do I…
sorry-baby-2025,thehandmaiden,"Sorry, Baby",5.0,Anyone else find themselves doing the breathing exercises along with her?
singin-in-the-rain,thehandmaiden,Singin' in the Rain,5.0,throuple of all time
twin-peaks-fire-walk-with-me,moodles,Twin Peaks: Fire Walk with Me,5.0,"i first watched this without having seen the show, which i justified because i knew i’d rewatch it after i’d seen the first two seasons. even without grasping the full picture i adored it, a devastating prolonged scream that induced deep pangs of agony inside me. it somehow managed an even greater effect on me this time, until i was producing noises i thought were impossible. consistent crying beginning in the second half leading to raw guttural sobs by the…"
how-to-train-your-dragon-2025,moodles,How to Train Your Dragon,,"okay now do Shark Tale next. gerard butler looking great 👍 extremely useless movie, not good but also not that bad at all. i am kinder to anything that isn’t unwatchable if i’m in a recliner chair with popcorn."
the-wrestler,moodles,The Wrestler,,"liked this a lot more than i thought i would, though i suppose any film at least partially about complicated, resentful feelings towards your father is guaranteed to make me weep. unresolved daddy issues yayyyy"
twin-peaks,moodles,Twin Peaks,5.0,finished season 2. front to back incredible. cannot wait to see what happens in The Return. lucy moran your miss twin peaks pageant dance was phenomenal and i would die for you.
the-taking-of-pelham-one-two-three,moodles,The Taking of Pelham One Two Three,,there's a really awesome suicide method in this. i was hoping martin balsam would get away with it but i'll take an all-timer walter matthau facial expression.
dogville,moodles,Dogville,5.0,"wait, guys, is this brechtian?"
sinners-2025,andredenervaux,Sinners,9.0,”Y'all smell anything?- No.I think I shat myself.”
conclave,andredenervaux,Conclave,8.0,Corruption in the catholic church? didn't see that one coming.Isabella Rosselliniyou have my heart
sinners-2025,andredenervaux,Sinners,9.0,So you rob trains and banks but you can't steal this pussy for a night?What’s better than 1 Michael b Jordan?2.
waves-2019,andredenervaux,Waves,5.0,"Gonna be somebody, I followRunning showers, in a mist so cloudyEnough time to know, know nothing at allI see the linesThere's two linesYou'll live a life anewTell me what you need from me? Gas money?And I did what I needed to, yeahTo be kindCut your teeth on sheets in ParisHope the water's deep enoughIt's a rush to the headWe've been here beforeThe first time is not the past timeI ain't felt this way in years"
the-brutalist,andredenervaux,The Brutalist,9.0,Inside you must look upwardsEvery frame is glorious.
balloonerism,andredenervaux,Balloonerism,9.0,"I miss you MacYeah somebody died today,I saw his picture in the funny papersDidn’t think anybody died on a Friday"
whiplash-2014,andredenervaux,Whiplash,9.0,"“Barker, that is not your boyfriend's dick. Do not come early“"
witches-2024,andredenervaux,Witches,8.0,“There is beauty in darkness”Elite references too
the-wicker-man,andredenervaux,The Wicker Man,8.0,Some things in their natural state have the most VIVID colors.
opening-night,filmexpress,Opening Night,8.0,"A Gena Rowlands masterclass.Another all-timer performance from her, working under the great John Cassavetes.In my opinion, it doesn't really come close to the lasting effect that ""A Woman Under the Influence"" had on me but it's still a powerful film.The use of music was phenomenal here, ramping up the tension at multiple times throughout the film.I think my only gripe with the film is how obvious and evident it all is thematically, from the themes of…"
rrr,filmexpress,RRR,9.0,"youtu.be/Vf5NMd5Z5oc?si=4UJCpbEDD7UdmW9LStill surprised how many views this Youtube review got3rd viewing and this didn't lose a single bit of steam.My minor criticisms aside, this is just an INSANE movie.Let SS RAJAMOULI direct a live action Dragon Ball film!!!This man got the sauceHe gets it lolI think I was smiling for all 3+ hours of this viewing.I can't believe how batshit crazy all the set pieces are.This movie has EVERYTHING and MORE.True…"
whisper-of-the-heart,filmexpress,Whisper of the Heart,8.0,"This might have had the most accurate depiction of Japan I've ever seen in an anime. They got everything down to the last detail and made it all feel very ""lived in"". It feels like I was transported back there while I was watching the film. They even got the rain right. Surprising stuff.Yoshifumi Kondo's direction is excellent and mind blowing for 1995. I'm surprised this is his only feature and tragically, it seems he passed away 3 years…"
